system	bertscore (μ ± 95% CI)	bleurt (μ ± 95% CI)	comet (μ ± 95% CI)	BLEU (μ ± 95% CI)	chrF2 (μ ± 95% CI)	TER (μ ± 95% CI)
candidate	94.7 (94.7 ± 0.0)	66.9 (66.9 ± 0.0)	86.8 (86.8 ± 0.0)	59.2 (59.2 ± 0.0)	73.6 (73.6 ± 0.0)	16.7 (16.7 ± 0.0)
